제품명,Codex 분류 메모,Figma 노출 순서,Figma 반영 상태,SERKAN Code,검수 상태,공식 링크,등록일,분류 확신도,브랜드,세르칸핏,연결 섹션 코드,이미지 상태,제품 사진,제품군,추천 대상,추천 이유 한 줄,카테고리,태그,트렌드 근거,협찬 가능성
라운드랩 자작나무 수분 선크림,,10,미반영,SR26-SK-SC-P003,검수 필요,https://roundlab.co.kr/,2026년 5월 29일 오후 2:16,보통,라운드랩,5,SR26-SK-SS,일반 제품컷 있음,https://img.danuri.io/catalog-image/527/155/011/89b1e86df368488ca348efbaa1330d09.jpg,선케어,,,피부관리,,백탁과 끈적임이 적은 데일리 선케어가 남성 루틴 진입 장벽을 낮춤.,높음
마녀공장 퓨어 클렌징 오일,,,,SR26-SK-CL-P006,검수 필요,https://manyo.co.kr/,2026년 5월 29일 오후 2:16,,마녀공장,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/799/264/011/d16dad9ea689420389b2b7a925bbfe2f.jpg,클렌징,,,피부관리,,선크림 사용 증가와 함께 저자극 이중세안 루틴 수요가 생김.,보통
아누아 어성초 77 수딩 토너,,,,SR26-SK-BR-P009,검수 필요,https://anua.kr/,2026년 5월 29일 오후 2:16,,아누아,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/213/507/014/099d82b78f7c4300a66f1f621cab2379.jpg,장벽케어,,,피부관리,,어성초 기반 진정 케어가 여드름성 피부와 민감 피부 양쪽에서 인지도가 높음.,보통
닥터지 그린 마일드 업 선 플러스,,30,미반영,SR26-SK-SC-P004,검수 필요,https://www.dr-g.co.kr/,2026년 5월 29일 오후 2:16,높음,닥터지,4,SR26-SK-SS,일반 제품컷 있음,https://img.danuri.io/catalog-image/647/447/030/132adeb197a842109c134303a797b34d.jpg,선케어,,,피부관리,,민감 피부용 무기자차 선케어 니즈가 꾸준하고 브랜드 신뢰도가 높음.,높음
넘버즈인 3번 보들보들 결 세럼,,,,SR26-SK-AG-P010,검수 필요,https://numbuzin.com/,2026년 5월 29일 오후 2:16,,넘버즈인,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/340/498/118/bf279e1cb2a94438a76ba39d3c0614b6.jpg,슬로우에이징,,,피부관리,,피부결과 모공을 관리하는 성분 기반 세럼 수요가 커짐.,보통
메디힐 마데카소사이드 흔적 패드,,,,SR26-SK-BR-P008,검수 필요,https://www.mediheal.co.kr/,2026년 5월 29일 오후 2:16,,메디힐,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/293/802/017/e39ab60293cc470c96c1d6d685b98099.jpg,장벽케어,,,피부관리,,토너패드가 진정과 흔적 케어를 겸하는 간편 루틴으로 자리잡음.,보통
조선미녀 맑은쌀 선크림,,20,미반영,SR26-SK-SC-P005,검수 필요,https://beautyofjoseon.com/,2026년 5월 29일 오후 2:16,보통,조선미녀,4,SR26-SK-SS,일반 제품컷 있음,https://img.danuri.io/catalog-image/912/548/027/dd091292f71e475cbd468deebf531f7b.jpg,선케어,,,피부관리,,K선케어 글로벌 수요와 가벼운 사용감이 맞물림.,보통
에스트라 아토베리어365 크림,,,,SR26-SK-BR-P002,검수 필요,https://www.aestura.com/,2026년 5월 29일 오후 2:16,,에스트라,5,,일반 제품컷 있음,https://image.shinsegaev.com/upload/C00001/s3/goods/org/321/260407151874321.jpg,장벽케어,,,피부관리,,장벽 회복과 민감 피부 케어가 데일리 스킨케어 핵심 축으로 확장됨.,높음
비플레인 녹두 약산성 클렌징폼,,,,SR26-SK-CL-P007,검수 필요,https://beplain.co.kr/,2026년 5월 29일 오후 2:16,,비플레인,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/106/916/027/352b5a7e65b04c0fb201cdcfcec1c357.jpg,클렌징,,,피부관리,,피부 장벽을 해치지 않는 약산성 클렌저 관심이 높음.,보통
토리든 다이브인 저분자 히알루론산 세럼,,,,SR26-SK-BR-P001,검수 필요,https://www.torriden.com/,2026년 5월 29일 오후 2:16,,토리든,5,,누끼/단독컷 있음,https://torridtr9977.cdn-nhncommerce.com/data/goods/23/08/32/182/182_detail_056.jpg,장벽케어,,,피부관리,,속건조와 수분 장벽을 동시에 잡는 저자극 수분 세럼 수요가 꾸준함.,높음
메디큐브 에이지알 부스터 프로,토큰 교체 후 REST health check 통과. 이미지 시각 확인: 흰 배경 단독 제품컷. Figma node 1:3 아래 SR26-SK-HD base code 제품 카드 섹션이 없어 임의 매핑하지 않음. 필요한 섹션/제품군: SR26-SK-HD / 홈케어디바이스.,,신규 섹션 후보,SR26-SK-HD-P015,승인,https://themedicube.co.kr/,2026년 5월 29일 오후 2:17,,메디큐브,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/110/857/028/de31db334f7449a5a8155d1e44fed26e.jpg,홈케어디바이스,,,피부관리,,홈 뷰티 디바이스가 루틴화되며 고가 협찬 콘텐츠 확장성이 큼.,높음
닥터자르트 시카페어 크림,,,,SR26-SK-BR-P013,검수 필요,https://www.drjart.com/,2026년 5월 29일 오후 2:17,,닥터자르트,4,,일반 제품컷 있음,https://img.danuri.io/catalog-image/904/183/019/5abe245d3c8e43ffa20976457a24d73e.jpg,장벽케어,,,피부관리,,시카 기반 진정 크림은 트러블과 면도 자극 루틴에 연결하기 쉬움.,보통
바이오힐보 프로바이오덤 리프팅 크림,,,,SR26-SK-AG-P017,검수 필요,https://www.biohealboh.com/,2026년 5월 29일 오후 2:17,,바이오힐보,3,,일반 제품컷 있음,https://img.danuri.io/catalog-image/390/693/071/4133c1da52ef4aa18288615bee21ecc5.jpg,슬로우에이징,,,피부관리,,탄력과 리프팅을 데일리 크림으로 낮추는 슬로우에이징 니즈.,보통
일리윤 세라마이드 아토 로션,,,,SR26-BD-BC-P020,검수 필요,https://www.illiyoon.com/,2026년 5월 29일 오후 2:17,,일리윤,5,,일반 제품컷 있음,https://img.danuri.io/catalog-image/859/513/005/456138fb8437405b879ba06374d05e88.jpg,바디케어,,,바디관리,,바디 장벽과 건조 관리가 겨울뿐 아니라 사계절 루틴으로 확장.,높음
